respondent_id,date,overall_satisfaction,product_quality,customer_service,would_recommend,improvement_suggestions,product_category,region
CS_0000,2024-03-30,4,3,5,yes,Keep up the good work,Fashion,Europe
CS_0001,2024-08-21,5,4,5,yes,Keep up the good work,Home,Asia Pacific
CS_0002,2024-11-12,5,5,4,yes,Keep up the good work,Home,Europe
CS_0003,2024-09-04,4,3,4,yes,Keep up the good work,Electronics,North America
CS_0004,2024-01-01,1,1,1,no,Make it cheaper,Fashion,Europe
CS_0005,2024-12-01,1,1,2,no,Make it cheaper,Home,North America
CS_0006,2024-08-02,5,4,5,yes,Keep up the good work,Electronics,Europe
CS_0007,2024-03-26,4,4,5,yes,Keep up the good work,Software,Asia Pacific
CS_0008,2024-11-12,5,5,5,yes,Keep up the good work,Home,North America
CS_0009,2024-05-27,1,1,2,no,Make it cheaper,Electronics,Europe
CS_0010,2024-10-14,4,5,5,yes,Keep up the good work,Software,Latin America
CS_0011,2024-09-24,4,3,4,yes,Keep up the good work,Software,North America
CS_0012,2024-07-02,1,2,1,no,Make it cheaper,Home,North America
CS_0013,2024-01-18,4,3,5,yes,Keep up the good work,Software,Europe
CS_0014,2024-08-02,4,5,4,yes,Keep up the good work,Electronics,North America
CS_0015,2024-04-03,5,5,5,yes,Keep up the good work,Software,Latin America
CS_0016,2024-05-31,5,5,5,yes,Keep up the good work,Electronics,North America
CS_0017,2024-10-24,4,3,4,yes,Keep up the good work,Electronics,North America
CS_0018,2024-07-25,1,1,2,no,Make it cheaper,Fashion,North America
CS_0019,2024-01-31,5,4,5,yes,Keep up the good work,Software,Europe
CS_0020,2024-06-09,2,1,3,no,Make it cheaper,Home,North America
CS_0021,2024-05-30,3,4,2,yes,Keep up the good work,Electronics,Latin America
CS_0022,2024-02-21,4,5,5,yes,Keep up the good work,Home,Asia Pacific
CS_0023,2024-03-13,5,5,4,yes,Keep up the good work,Fashion,Europe
CS_0024,2024-11-27,3,2,2,yes,Keep up the good work,Electronics,Europe
CS_0025,2024-01-17,5,5,4,yes,Keep up the good work,Home,Latin America
CS_0026,2024-10-20,4,3,5,yes,Keep up the good work,Software,Europe
CS_0027,2024-11-21,4,3,5,yes,Keep up the good work,Software,Asia Pacific
CS_0028,2024-05-05,3,2,3,yes,Keep up the good work,Electronics,North America
CS_0029,2024-10-24,5,4,4,yes,Keep up the good work,Fashion,North America
CS_0030,2024-04-19,4,3,4,yes,Keep up the good work,Software,Latin America
CS_0031,2024-08-17,3,2,4,yes,Keep up the good work,Fashion,Asia Pacific
CS_0032,2024-06-11,4,5,3,yes,Keep up the good work,Home,Asia Pacific
CS_0033,2024-11-18,5,5,4,yes,Keep up the good work,Home,Asia Pacific
CS_0034,2024-10-14,4,4,4,yes,Keep up the good work,Home,Latin America
CS_0035,2024-06-18,4,3,4,yes,Keep up the good work,Home,Asia Pacific
CS_0036,2024-01-28,3,2,4,yes,Keep up the good work,Electronics,Latin America
CS_0037,2024-01-22,3,4,3,yes,Keep up the good work,Electronics,North America
CS_0038,2024-05-05,2,1,3,no,Make it cheaper,Home,Europe
CS_0039,2024-07-08,5,5,5,yes,Keep up the good work,Software,Europe
CS_0040,2024-03-22,4,4,4,yes,Keep up the good work,Electronics,Latin America
CS_0041,2024-03-25,4,3,5,yes,Keep up the good work,Electronics,Europe
CS_0042,2024-10-03,4,5,4,yes,Keep up the good work,Electronics,Europe
CS_0043,2024-04-23,5,4,4,yes,Keep up the good work,Electronics,Latin America
CS_0044,2024-12-07,4,3,4,yes,Keep up the good work,Electronics,Latin America
CS_0045,2024-07-29,4,4,4,yes,Keep up the good work,Software,Latin America
CS_0046,2024-10-07,2,2,2,no,Make it cheaper,Software,Latin America
CS_0047,2024-07-26,4,5,3,yes,Keep up the good work,Home,Europe
CS_0048,2024-06-19,1,1,1,no,Make it cheaper,Home,Latin America
CS_0049,2024-03-13,1,2,1,no,Make it cheaper,Home,Asia Pacific
CS_0050,2024-09-15,1,2,2,no,Make it cheaper,Fashion,Europe
CS_0051,2024-03-30,5,4,4,yes,Keep up the good work,Electronics,Asia Pacific
CS_0052,2024-09-04,4,5,5,yes,Keep up the good work,Home,Asia Pacific
CS_0053,2024-09-16,2,1,3,no,Make it cheaper,Electronics,Latin America
CS_0054,2024-03-14,2,2,2,no,Make it cheaper,Home,Europe
CS_0055,2024-04-07,5,5,5,yes,Keep up the good work,Fashion,Latin America
CS_0056,2024-09-29,2,1,2,no,Make it cheaper,Home,Latin America
CS_0057,2024-12-17,4,5,4,yes,Keep up the good work,Home,North America
CS_0058,2024-12-24,3,4,3,yes,Keep up the good work,Home,Europe
CS_0059,2024-11-03,3,3,2,yes,Keep up the good work,Electronics,North America
CS_0060,2024-03-23,4,5,3,yes,Keep up the good work,Home,Latin America
CS_0061,2024-05-01,3,2,4,yes,Keep up the good work,Fashion,Latin America
CS_0062,2024-05-24,4,5,3,yes,Keep up the good work,Home,North America
CS_0063,2024-01-27,3,4,4,yes,Keep up the good work,Electronics,Europe
CS_0064,2024-12-19,3,3,4,yes,Keep up the good work,Electronics,Europe
CS_0065,2024-12-04,4,5,4,yes,Keep up the good work,Home,Europe
CS_0066,2024-09-21,5,5,5,yes,Keep up the good work,Home,North America
CS_0067,2024-04-28,3,3,2,yes,Keep up the good work,Software,Latin America
CS_0068,2024-12-18,5,4,4,yes,Keep up the good work,Home,Latin America
CS_0069,2024-02-29,5,4,4,yes,Keep up the good work,Electronics,Latin America
CS_0070,2024-03-28,3,3,2,yes,Keep up the good work,Fashion,Asia Pacific
CS_0071,2024-05-23,4,5,4,yes,Keep up the good work,Electronics,North America
CS_0072,2024-03-28,5,4,5,yes,Keep up the good work,Fashion,Europe
