respondent_id,date,satisfaction,work_life_balance,management,growth_opportunities,open_feedback,department,tenure_years
EE_0000,2024-06-13,5,4,4,5,Love my team,HR,7.0
EE_0001,2024-09-23,4,4,5,4,Good benefits,Marketing,4.7
EE_0002,2024-01-17,4,3,3,3,Love my team,HR,2.9
EE_0003,2024-05-17,5,4,5,5,Good benefits,Marketing,3.3
EE_0004,2024-08-21,3,3,4,3,It's alright,Sales,8.4
EE_0005,2024-09-24,4,5,5,5,Great place to work,Product,3.6
EE_0006,2024-09-17,4,4,5,5,Great place to work,Marketing,1.8
EE_0007,2024-10-21,1,1,2,1,Poor management,HR,3.3
EE_0008,2024-11-04,5,5,5,5,Great place to work,Engineering,0.6
EE_0009,2024-09-08,5,4,5,5,Love my team,Product,8.8
EE_0010,2024-10-30,4,4,3,4,Great place to work,Sales,9.8
EE_0011,2024-05-11,3,3,2,3,Average experience,Marketing,9.2
EE_0012,2024-07-07,5,4,5,5,Good benefits,Engineering,9.4
EE_0013,2024-08-26,3,2,4,3,Needs better communication,Product,0.9
EE_0014,2024-08-31,4,3,4,3,Great place to work,Finance,7.6
EE_0015,2024-08-27,3,3,4,3,Average experience,Sales,1.7
EE_0016,2024-07-09,4,4,4,4,Great place to work,Marketing,8.5
EE_0017,2024-02-05,4,5,3,3,Great place to work,Marketing,1.2
EE_0018,2024-06-14,5,4,5,5,Good benefits,Marketing,9.0
EE_0019,2024-10-01,5,4,5,5,Good benefits,Sales,2.2
EE_0020,2024-10-08,4,3,5,5,Great place to work,Sales,9.9
EE_0021,2024-04-03,2,1,2,2,Overworked,Sales,1.1
EE_0022,2024-06-28,5,5,5,5,Love my team,Sales,3.2
EE_0023,2024-09-01,2,1,2,3,No growth opportunities,Sales,1.2
EE_0024,2024-01-09,2,1,2,2,Poor management,HR,2.6
EE_0025,2024-08-11,3,4,3,3,It's alright,Sales,10.0
EE_0026,2024-05-19,4,4,3,3,Love my team,Sales,5.9
EE_0027,2024-08-07,4,5,4,5,Great place to work,Finance,1.1
EE_0028,2024-01-28,5,5,5,4,Great place to work,Marketing,3.6
EE_0029,2024-12-26,3,4,2,3,Average experience,Sales,4.4
EE_0030,2024-08-26,5,5,5,5,Love my team,Sales,9.6
EE_0031,2024-06-18,3,2,3,2,It's alright,HR,9.9
EE_0032,2024-10-24,5,5,5,4,Great place to work,Sales,1.6
EE_0033,2024-11-07,3,4,2,2,Needs better communication,Product,5.1
EE_0034,2024-12-28,5,5,5,5,Great place to work,Product,4.4
EE_0035,2024-03-16,4,3,3,3,Great place to work,Finance,6.5
EE_0036,2024-04-27,5,4,4,4,Love my team,Engineering,7.7
EE_0037,2024-06-18,5,5,4,5,Great place to work,HR,2.9
EE_0038,2024-01-07,3,3,2,2,It's alright,Engineering,1.5
EE_0039,2024-09-11,4,5,5,3,Great place to work,Product,8.4
EE_0040,2024-10-21,4,4,5,4,Good benefits,Sales,7.5
EE_0041,2024-04-12,3,4,3,4,Needs better communication,HR,1.6
EE_0042,2024-05-14,5,5,4,5,Good benefits,Finance,8.7
EE_0043,2024-10-11,5,4,5,5,Great place to work,Sales,2.4
